구절	교정전	교정후
Deuteronomy 11:24	your's:	yours:
Deuteronomy 34:6	Beth-peor:	Bethpeor:
Joshua 2:14	your's,	yours,
Joshua 7:2	Beth-aven,	Bethaven,
Joshua 7:2	Beth-el,	Bethel,
Joshua 8:9	Beth-el	Bethel
Joshua 8:12	Beth-el	Bethel
Joshua 8:17	Beth-el,	Bethel,
Joshua 9:17	Kirjath-jearim.	Kirjathjearim.
Joshua 10:1	Adoni-zedek	Adonizedek
Joshua 10:3	Adoni-zedek	Adonizedek
Joshua 10:10	Beth-horon,	Bethhoron,
Joshua 10:11	Beth-horon,	Bethhoron,
Joshua 10:41	Kadesh-barnea	Kadeshbarnea
Joshua 11:8	Misrephoth-maim,	Misrephothmaim,
Joshua 11:17	Baal-gad	Baalgad
Joshua 12:3	Beth-jeshimoth;	Bethjeshimoth;
Joshua 12:3	Ashdoth-pisgah:	Ashdothpisgah:
Joshua 12:7	Baal-gad	Baalgad
Joshua 12:9	Beth-el,	Bethel,
Joshua 12:16	Beth-el,	Bethel,
Joshua 12:20	Shimron-meron,	Shimronmeron,
Joshua 13:5	Baal-gad	Baalgad
Joshua 13:6	Misrephoth-maim,	Misrephothmaim,
Joshua 13:17	Bamoth-baal,	Bamothbaal,
Joshua 13:17	Beth-baal-meon,	Bethbaalmeon,
Joshua 13:19	Zareth-shahar	Zarethshahar
Joshua 13:20	Beth-peor,	Bethpeor,
Joshua 13:20	Ashdoth-pisgah,	Ashdothpisgah,
Joshua 13:20	Beth-jeshimoth,	Bethjeshimoth,
Joshua 13:26	Ramath-mizpeh,	Ramathmizpeh,
Joshua 13:27	Beth-aram,	Betharam,
Joshua 13:27	Beth-nimrah,	Bethnimrah,
Joshua 14:6	Kadesh-barnea.	Kadeshbarnea.
Joshua 14:7	Kadesh-barnea	Kadeshbarnea
Joshua 14:15	Kirjath-arba;	Kirjatharba;
Joshua 15:3	Maaleh-acrabbim,	Maalehacrabbim,
Joshua 15:3	Kadesh-barnea,	Kadeshbarnea,
Joshua 15:6	Beth-hogla,	Bethhogla,
Joshua 15:6	Beth-arabah;	Betharabah;
Joshua 15:7	En-shemesh,	Enshemesh,
Joshua 15:7	En-rogel:	Enrogel:
Joshua 15:9	Kirjath-jearim:	Kirjathjearim:
Joshua 15:10	Beth-shemesh,	Bethshemesh,
Joshua 15:15	Kirjath-sepher.	Kirjathsepher.
Joshua 15:16	Kirjath-sepher,	Kirjathsepher,
Joshua 15:27	Hazar-gaddah,	Hazargaddah,
Joshua 15:27	Beth-palet,	Bethpalet,
Joshua 15:28	Hazar-shual,	Hazarshual,
Joshua 15:28	Beer-sheba,	Beersheba,
Joshua 15:34	En-gannim,	Engannim,
Joshua 15:37	Migdal-gad,	Migdalgad,
Joshua 15:41	Beth-dagon,	Bethdagon,
Joshua 15:49	Kirjath-sannah,	Kirjathsannah,
Joshua 15:53	Beth-tappuah,	Bethtappuah,
Joshua 15:54	Kirjath-arba,	Kirjatharba,
Joshua 15:58	Beth-zur,	Bethzur,
Joshua 15:59	Beth-anoth,	Bethanoth,
Joshua 15:60	Kirjath-baal,	Kirjathbaal,
Joshua 15:60	Kirjath-jearim,	Kirjathjearim,
Joshua 15:61	Beth-arabah,	Betharabah,
Joshua 15:62	En-gedi;	Engedi;
Joshua 16:1	Beth-el,	Bethel,
Joshua 16:2	Beth-el	Bethel
Joshua 16:3	Beth-horon	Bethhoron
Joshua 16:5	Ataroth-addar,	Atarothaddar,
Joshua 16:5	Beth-horon	Bethhoron
Joshua 16:6	Taanath-shiloh,	Taanathshiloh,
Joshua 17:7	En-tappuah.	Entappuah.
Joshua 17:11	Beth-shean	Bethshean
Joshua 17:11	En-dor	Endor
Joshua 17:16	Beth-shean	Bethshean
Joshua 18:12	Beth-aven.	Bethaven.
Joshua 18:13	Beth-el,	Bethel,
Joshua 18:13	Ataroth-adar,	Atarothadar,
Joshua 18:13	Beth-horon.	Bethhoron.
Joshua 18:14	Beth-horon	Bethhoron
Joshua 18:14	Kirjath-baal,	Kirjathbaal,
Joshua 18:14	Kirjath-jearim,	Kirjathjearim,
Joshua 18:15	Kirjath-jearim,	Kirjathjearim,
Joshua 18:16	En-rogel,	Enrogel,
Joshua 18:17	En-shemesh,	Enshemesh,
Joshua 18:19	Beth-hoglah	Bethhoglah
Joshua 18:21	Beth-hoglah,	Bethhoglah,
Joshua 18:22	Beth-arabah,	Betharabah,
Joshua 18:22	Beth-el,	Bethel,
Joshua 18:24	Chephar-haammonai,	Chepharhaammonai,
Joshua 19:2	Beer-sheba,	Beersheba,
