구절	교정전	교정후
1 Chronicles 2:54	Beth-lehem,	Bethlehem,
1 Chronicles 3:5	Bath-shua	Bathshua
1 Chronicles 3:20	Jushab-hesed,	Jushabhesed,
1 Chronicles 4:4	Beth-lehem.	Bethlehem.
1 Chronicles 4:12	Beth-rapha,	Bethrapha,
1 Chronicles 4:12	Ir-nahash.	Irnahash.
1 Chronicles 4:20	Ben-hanan,	Benhanan,
1 Chronicles 4:20	Ben-zoheth.	Benzoheth.
1 Chronicles 4:22	Jashubi-lehem.	Jashubilehem.
1 Chronicles 4:28	Beer-sheba,	Beersheba,
1 Chronicles 4:28	Hazar-shual,	Hazarshual,
1 Chronicles 4:31	Beth-marcaboth,	Bethmarcaboth,
1 Chronicles 4:31	Hazar-susim,	Hazarsusim,
1 Chronicles 4:31	Beth-birei,	Bethbirei,
1 Chronicles 5:6	Tilgath-pilneser	Tilgathpilneser
1 Chronicles 5:8	Baal-meon:	Baalmeon:
1 Chronicles 5:23	Baal-hermon	Baalhermon
1 Chronicles 5:26	Tilgath-pilneser	Tilgathpilneser
1 Chronicles 6:54	their's	theirs
1 Chronicles 6:59	Beth-shemesh	Bethshemesh
1 Chronicles 6:68	Beth-horon	Bethhoron
1 Chronicles 6:69	Gath-rimmon	Gathrimmon
1 Chronicles 7:19	Shemidah	Shemida
1 Chronicles 7:24	Beth-horon	Bethhoron
1 Chronicles 7:24	Uzzen-sherah.)	Uzzensherah.)
1 Chronicles 7:28	Beth-el	Bethel
1 Chronicles 7:29	Beth-shean	Bethshean
1 Chronicles 8:33	Malchi-shua,	Malchishua,
1 Chronicles 8:33	Esh-baal.	Eshbaal.
1 Chronicles 8:34	Merib-baal;	Meribbaal;
1 Chronicles 8:34	Merib-baal	Meribbaal
1 Chronicles 9:39	Malchi-shua,	Malchishua,
1 Chronicles 9:39	Esh-baal.	Eshbaal.
1 Chronicles 9:40	Merib-baal:	Meribbaal:
1 Chronicles 9:40	Merib-baal	Meribbaal
1 Chronicles 10:2	Malchi-shua,	Malchishua,
1 Chronicles 10:11	Jabesh-gilead	Jabeshgilead
1 Chronicles 11:13	Pas-dammim,	Pasdammim,
1 Chronicles 11:16	Beth-lehem.	Bethlehem.
1 Chronicles 11:17	Beth-lehem,	Bethlehem,
1 Chronicles 11:18	Beth-lehem,	Bethlehem,
1 Chronicles 11:26	Beth-lehem,	Bethlehem,
1 Chronicles 13:5	Kirjath-jearim.	Kirjathjearim.
1 Chronicles 13:6	Kirjath-jearim,	Kirjathjearim,
1 Chronicles 13:11	Perez-uzza	Perezuzza
1 Chronicles 13:13	Obed-edom	Obededom
1 Chronicles 13:14	Obed-edom	Obededom
1 Chronicles 13:14	Obed-edom,	Obededom,
1 Chronicles 14:11	Baal-perazim;	Baalperazim;
1 Chronicles 14:11	Baal-perazim.	Baalperazim.
1 Chronicles 15:18	Obed-edom,	Obededom,
1 Chronicles 15:21	Obed-edom,	Obededom,
1 Chronicles 15:24	Obed-edom	Obededom
1 Chronicles 15:25	Obed-edom	Obededom
1 Chronicles 16:5	Obed-edom:	Obededom:
1 Chronicles 16:38	Obed-edom	Obededom
1 Chronicles 16:38	Obed-edom	Obededom
1 Chronicles 18:6	Syria-damascus;	Syriadamascus;
1 Chronicles 19:6	Syria-maachah,	Syriamaachah,
1 Chronicles 21:2	Beer-sheba	Beersheba
1 Chronicles 25:4	Romamti-ezer,	Romamtiezer,
1 Chronicles 25:31	Romamti-ezer,	Romamtiezer,
1 Chronicles 26:4	Obed-edom	Obededom
1 Chronicles 26:8	Obed-edom:	Obededom:
1 Chronicles 26:8	Obed-edom.	Obededom.
1 Chronicles 26:15	Obed-edom	Obededom
1 Chronicles 27:28	Baal-hanan	Baalhanan
2 Chronicles 1:4	Kirjath-jearim	Kirjathjearim
2 Chronicles 2:16	flotes	floats
2 Chronicles 8:3	Hamath-zobah,	Hamathzobah,
2 Chronicles 8:5	Beth-horon	Bethhoron
2 Chronicles 8:5	Beth-horon	Bethhoron
2 Chronicles 8:17	Ezion-geber,	Eziongeber,
2 Chronicles 11:6	Beth-lehem,	Bethlehem,
2 Chronicles 11:7	Beth-zur,	Bethzur,
2 Chronicles 13:19	Beth-el	Bethel
2 Chronicles 16:2	Ben-hadad	Benhadad
2 Chronicles 16:4	Ben-hadad	Benhadad
2 Chronicles 16:4	Abel-maim,	Abelmaim,
2 Chronicles 18:2	Ramoth-gilead.	Ramothgilead.
2 Chronicles 18:3	Ramoth-gilead?	Ramothgilead?
2 Chronicles 18:5	Ramoth-gilead	Ramothgilead
2 Chronicles 18:11	Ramoth-gilead,	Ramothgilead,
2 Chronicles 18:12	their's,	theirs,
2 Chronicles 18:14	Ramoth-gilead	Ramothgilead
2 Chronicles 18:19	Ramoth-gilead?	Ramothgilead?
2 Chronicles 18:28	Ramoth-gilead.	Ramothgilead.
2 Chronicles 19:4	Beer-sheba	Beersheba
2 Chronicles 20:2	Hazazon-tamar,	Hazazontamar,
2 Chronicles 20:2	En-gedi.	Engedi.
2 Chronicles 20:15	your's,	yours,
2 Chronicles 20:36	Ezion-geber.	Eziongeber.
2 Chronicles 22:5	Ramoth-gilead:	Ramothgilead:
2 Chronicles 24:1	Beer-sheba.	Beersheba.
2 Chronicles 25:13	Beth-horon,	Bethhoron,
2 Chronicles 25:21	Beth-shemesh,	Bethshemesh,
2 Chronicles 25:23	Beth-shemesh,	Bethshemesh,
2 Chronicles 25:24	Obed-edom,	Obededom,
2 Chronicles 28:18	Beth-shemesh,	Bethshemesh,
2 Chronicles 28:20	Tilgath-pilneser	Tilgathpilneser
2 Chronicles 30:5	Beer-sheba	Beersheba
Ezra 2:6	Pahath-moab,	Pahathmoab,
Ezra 2:21	Beth-lehem,	Bethlehem,
Ezra 2:25	Kirjath-arim,	Kirjatharim,
Ezra 2:28	Beth-el	Bethel
Ezra 2:59	Tel-melah, Tel-harsa,	Telmelah, Telharsa,
Ezra 4:2	Esar-haddon	Esarhaddon
Ezra 5:3	Shethar-boznai,	Shetharboznai,
Ezra 5:6	Shethar-boznai,	Shetharboznai,
Ezra 6:6	Shethar-boznai,	Shetharboznai,
Ezra 6:13	Shethar-boznai,	Shetharboznai,
Ezra 8:4	Pahath-moab;	Pahathmoab;
Ezra 10:30	Pahath-moab;	Pahathmoab;
Nehemiah 3:11	Pahath-moab,	Pahathmoab,
Nehemiah 3:14	Beth-haccerem;	Bethhaccerem;
Nehemiah 3:15	Col-hozeh,	Colhozeh,
Nehemiah 3:16	Beth-zur,	Bethzur,
Nehemiah 7:11	Pahath-moab,	Pahathmoab,
Nehemiah 7:26	Beth-lehem	Bethlehem
Nehemiah 7:28	Beth-azmaveth,	Bethazmaveth,
Nehemiah 7:29	Kirjath-jearim,	Kirjathjearim,
Nehemiah 7:32	Beth-el	Bethel
Nehemiah 7:61	Tel-melah, Tel-haresha,	Telmelah, Telharesha,
Nehemiah 10:14	Pahath-moab,	Pahathmoab,
Nehemiah 11:5	Col-hozeh,	Colhozeh,
Nehemiah 11:25	Kirjath-arba,	Kirjatharba,
Nehemiah 11:26	Beth-phelet,	Bethphelet,
Nehemiah 11:27	Hazar-shual,	Hazarshual,
Nehemiah 11:27	Beer-sheba,	Beersheba,
Nehemiah 11:29	En-rimmon,	Enrimmon,
Nehemiah 11:30	Beer-sheba	Beersheba
Nehemiah 11:31	Beth-el,	Bethel,
Job 6:1	answered and	answeredand
Job 9:1	answered and	answeredand
Job 9:32	[am,	[am],[
Job 10:20	[then,	[then],[
Job 11:18	thee,	thee],[
Job 16:1	answered and	answeredand
Job 19:1	answered and	answeredand
Job 24:17	[them,	[them],[
Job 31:35	[is,	[is],[
Job 42:14	Keren-happuch.	Kerenhappuch.
Psalms 83:10	En-dor:	Endor:
Psalms 106:28	Baal-peor,	Baalpeor,
Song of Solomon 1:14	En-gedi.	Engedi.
Song of Solomon 7:4	Bath-rabbim:	Bathrabbim:
Song of Solomon 8:11	Baal-hamon;	Baalhamon;
Isaiah 7:3	Shear-jashub	Shearjashub
Isaiah 8:1	Maher-shalal-hash-baz.	Mahershalalhashbaz.
Isaiah 8:3	Maher-shalal-hash-baz.	Mahershalalhashbaz.
Isaiah 15:8	Beer-elim.	Beerelim.
Isaiah 16:7	Kir-hareseth	Kirhareseth
Isaiah 16:11	Kir-haresh.	Kirharesh.
Isaiah 37:38	Esar-haddon	Esarhaddon
Isaiah 39:1	Merodach-baladan,	Merodachbaladan,
Isaiah 62:4	Hephzi-bah,	Hephzibah,
Jeremiah 2:22	sope,	soap,
Jeremiah 5:19	your's.	yours.
Jeremiah 6:1	Beth-haccerem:	Bethhaccerem:
Jeremiah 20:3	Magor-missabib.	Magormissabib.
Jeremiah 26:20	Kirjath-jearim,	Kirjathjearim,
Jeremiah 38:7	Ebed-melech	Ebedmelech
Jeremiah 38:8	Ebed-melech	Ebedmelech
Jeremiah 38:10	Ebed-melech	Ebedmelech
Jeremiah 38:11	Ebed-melech	Ebedmelech
Jeremiah 38:12	Ebed-melech	Ebedmelech
Jeremiah 39:3	Nergal-sharezer, Samgar-nebo,	Nergalsharezer, Samgarnebo,
Jeremiah 39:3	Rab-saris, Nergal-sharezer, Rab-mag,	Rabsaris, Nergalsharezer, Rabmag,
Jeremiah 39:9	Nebuzar-adan	Nebuzaradan
Jeremiah 39:10	Nebuzar-adan	Nebuzaradan
Jeremiah 39:11	Nebuzar-adan	Nebuzaradan
Jeremiah 39:13	Nebuzar-adan	Nebuzaradan
Jeremiah 39:13	Rab-saris,	Rabsaris,
Jeremiah 39:13	Nergal-sharezer, Rab-mag,	Nergalsharezer, Rabmag,
Jeremiah 39:16	Ebed-melech	Ebedmelech
Jeremiah 40:1	Nebuzar-adan	Nebuzaradan
Jeremiah 41:10	Nebuzar-adan	Nebuzaradan
Jeremiah 41:17	Beth-lehem,	Bethlehem,
Jeremiah 43:6	Nebuzar-adan	Nebuzaradan
Jeremiah 43:13	Beth-shemesh,	Bethshemesh,
Jeremiah 44:28	their's.	theirs.
Jeremiah 44:30	Pharaoh-hophra	Pharaohhophra
Jeremiah 46:2	Pharaoh-necho	Pharaohnecho
Jeremiah 48:13	Beth-el	Bethel
Jeremiah 48:22	Beth-diblathaim,	Bethdiblathaim,
Jeremiah 48:23	Beth-gamul,	Bethgamul,
Jeremiah 48:23	Beth-meon,	Bethmeon,
Jeremiah 48:31	Kir-heres.	Kirheres.
Jeremiah 48:36	Kir-heres:	Kirheres:
Jeremiah 49:27	Ben-hadad.	Benhadad.
Jeremiah 52:12	Nebuzar-adan,	Nebuzaradan,
Jeremiah 52:15	Nebuzar-adan	Nebuzaradan
Jeremiah 52:16	Nebuzar-adan	Nebuzaradan
Jeremiah 52:26	Nebuzar-adan	Nebuzaradan
Jeremiah 52:30	Nebuzar-adan	Nebuzaradan
Jeremiah 52:31	Evil-merodach	Evilmerodach
Ezekiel 3:15	Tel-abib,	Telabib,
Ezekiel 4:10	[shall be]	[shall] [be]
Ezekiel 7:11	their's:	theirs:
Ezekiel 25:9	Beth-jeshimoth, Baal-meon,	Bethjeshimoth, Baalmeon,
Ezekiel 30:17	Pi-beseth	Pibeseth
Ezekiel 36:2	our's	ours
Ezekiel 39:11	Hamon-gog.	Hamongog.
Ezekiel 39:15	Hamon-gog.	Hamongog.
Ezekiel 44:29	their's.	theirs.
Ezekiel 47:3	ancles.	ankles.
Ezekiel 47:10	En-gedi	Engedi
Ezekiel 47:10	En-eglaim;	Eneglaim;
Ezekiel 47:16	Hazar-hatticon,	Hazarhatticon,
Ezekiel 47:17	Hazar-enan,	Hazarenan,
Ezekiel 48:1	Hazar-enan,	Hazarenan,
Daniel 1:7	Abed-nego.	Abednego.
Daniel 2:49	Abed-nego,	Abednego,
Daniel 3:12	Abed-nego;	Abednego;
Daniel 3:13	Abed-nego.	Abednego.
Daniel 3:14	Abed-nego,	Abednego,
Daniel 3:16	Abed-nego,	Abednego,
Daniel 3:19	Abed-nego:	Abednego:
Daniel 3:20	Abed-nego,	Abednego,
Daniel 3:22	Abed-nego.	Abednego.
Daniel 3:23	Abed-nego,	Abednego,
Daniel 3:26	Abed-nego,	Abednego,
Daniel 3:26	Abed-nego,	Abednego,
Daniel 3:28	Abed-nego,	Abednego,
Daniel 3:29	Abed-nego,	Abednego,
Daniel 3:30	Abed-nego,	Abednego,
Hosea 1:6	Lo-ruhamah:	Loruhamah:
Hosea 1:8	Lo-ruhamah,	Loruhamah,
Hosea 1:9	Lo-ammi:	Loammi:
Hosea 4:15	Beth-aven,	Bethaven,
Hosea 5:8	Beth-aven,	Bethaven,
Hosea 9:10	Baal-peor,	Baalpeor,
Hosea 10:5	Beth-aven:	Bethaven:
Hosea 10:14	Beth-arbel	Betharbel
Hosea 10:15	Beth-el	Bethel
Hosea 12:4	Beth-el,	Bethel,
Amos 1:4	Ben-hadad.	Benhadad.
Amos 3:14	Beth-el:	Bethel:
Amos 4:4	Beth-el,	Bethel,
Amos 5:5	Beth-el,	Bethel,
Amos 5:5	Beer-sheba:	Beersheba:
Amos 5:5	Beth-el	Bethel
Amos 5:6	Beth-el.	Bethel.
Amos 7:10	Beth-el	Bethel
Amos 7:13	Beth-el:	Bethel:
Amos 8:14	Beer-sheba	Beersheba
Micah 1:11	Beth-ezel;	Bethezel;
Micah 1:14	Moresheth-gath:	Moreshethgath:
Micah 5:2	Beth-lehem	Bethlehem
Habakkuk 1:6	their's.	theirs.
Zechariah 7:2	Regem-melech,	Regemmelech,
Malachi 3:2	sope:	soap:
Matthew 5:3	their's	theirs
Matthew 5:10	their's	theirs
Matthew 16:17	Bar-jona:	Barjona:
Mark 12:7	our's.	ours.
Mark 14:19	[said,	[said],[
Luke 6:20	your's	yours
Luke 20:14	our's.	ours.
John 15:20	your's	yours
Acts 3:7	ancle	ankle
Acts 13:6	Bar-jesus:	Barjesus:
1 Corinthians 1:2	their's	theirs
1 Corinthians 1:2	our's:	ours:
1 Corinthians 3:21	your's;	yours;
1 Corinthians 3:22	your's;	yours;
1 Corinthians 8:9	your's	yours
1 Corinthians 16:18	your's:	yours:
2 Corinthians 1:14	our's	ours
2 Corinthians 12:14	your's,	yours,
2 Timothy 3:9	their's	theirs
Titus 3:14	our's	ours
1 John 2:2	our's	ours
